Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age,AveMonthSpend
Bachelors ,Professional,F,S,1,1,0,0,69256,30,46
Bachelors ,Professional,M,M,0,1,0,0,98122,30,80
Bachelors ,Professional,F,S,1,1,0,0,85963,30,50
Bachelors ,Professional,M,S,1,2,2,4,104466,35,107
Graduate Degree,Professional,F,S,0,0,2,3,88984,35,65
Graduate Degree,Professional,F,M,1,0,2,3,90951,35,71
Bachelors ,Skilled Manual,M,M,1,0,1,1,51873,24,79
Partial High School,Manual,M,S,1,2,0,0,12635,26,61
Partial High School,Manual,F,S,0,2,0,0,11992,26,33
Partial High School,Manual,F,S,0,2,0,0,22102,26,36
High School,Manual,M,S,0,1,0,0,28911,25,58
Bachelors ,Skilled Manual,F,M,1,1,1,1,44079,25,58
Bachelors ,Skilled Manual,F,M,1,1,1,1,60611,25,55
Bachelors ,Skilled Manual,F,M,1,1,1,1,47639,25,51
Partial High School,Manual,F,S,0,2,0,0,17968,26,42
High School,Manual,M,S,0,1,0,0,38680,26,59
Partial College,Clerical,M,S,1,0,2,2,72102,26,88
Partial High School,Manual,F,M,0,2,0,0,11442,27,46
Partial High School,Manual,M,S,1,2,0,0,10612,27,55
Partial High School,Manual,F,M,0,2,0,0,34431,27,43
Partial High School,Manual,F,S,0,2,0,0,21308,27,45
High School,Manual,M,S,1,1,0,0,49778,27,68
High School,Manual,M,S,0,1,0,0,60717,27,71
High School,Manual,M,M,0,1,0,0,41578,27,73
Partial College,Clerical,M,S,1,0,2,2,36869,28,83
High School,Manual,M,S,1,1,0,0,56871,27,65
Partial College,Clerical,F,S,1,1,2,2,37034,27,58
Partial College,Clerical,M,S,1,2,2,2,51999,28,92
Partial College,Clerical,F,S,1,1,3,3,44396,23,60
Partial College,Clerical,M,S,1,2,3,3,51492,24,103
Graduate Degree,Skilled Manual,F,S,1,0,0,0,56356,24,46
Graduate Degree,Skilled Manual,F,M,1,0,0,0,61177,24,52
Graduate Degree,Skilled Manual,M,M,1,0,0,0,76797,24,80
Partial College,Clerical,F,M,0,2,0,2,46414,69,35
Bachelors ,Skilled Manual,F,M,1,1,0,1,68263,67,40
Graduate Degree,Skilled Manual,F,M,1,1,0,1,49920,67,41
Graduate Degree,Skilled Manual,M,M,1,0,0,0,103345,32,84
Graduate Degree,Skilled Manual,M,M,1,0,0,0,114899,32,85
High School,Manual,F,M,0,2,0,2,23053,45,43
High School,Manual,M,M,0,2,0,2,19807,45,55
High School,Manual,M,M,0,2,0,2,20516,45,67
High School,Manual,M,M,0,2,0,2,12285,45,60
High School,Manual,M,M,0,2,0,2,24092,45,62
Partial High School,Clerical,M,M,0,2,0,3,19471,44,62
High School,Clerical,F,M,1,1,0,1,36059,44,46
High School,Clerical,F,M,1,1,0,1,45946,44,46
High School,Skilled Manual,F,M,1,2,0,2,38996,43,51
Partial College,Clerical,F,M,1,1,0,1,49284,43,50
High School,Skilled Manual,F,M,1,2,0,2,55630,42,50
High School,Skilled Manual,M,M,1,2,0,2,57626,42,75
High School,Skilled Manual,F,M,1,2,0,2,52121,42,50
High School,Skilled Manual,F,M,0,2,0,2,47551,42,45
High School,Skilled Manual,F,M,0,2,0,2,45856,41,46
High School,Skilled Manual,F,M,1,2,0,2,41322,41,49
High School,Skilled Manual,F,M,0,2,0,2,50964,41,49
High School,Skilled Manual,M,M,0,2,0,2,54495,41,73
High School,Skilled Manual,M,M,1,2,0,2,48458,41,66
High School,Skilled Manual,M,M,1,2,0,2,46024,41,69
Partial College,Clerical,F,M,1,1,0,1,49878,41,48
Partial College,Clerical,M,S,0,1,0,2,59503,40,66
Partial College,Clerical,M,M,1,1,0,2,58125,40,70
Graduate Degree,Skilled Manual,F,S,1,0,0,5,104873,40,54
Graduate Degree,Skilled Manual,F,M,1,0,0,5,108500,40,60
Graduate Degree,Skilled Manual,M,M,0,0,0,5,121937,40,81
Graduate Degree,Skilled Manual,M,M,0,0,0,4,130585,40,84
Graduate Degree,Skilled Manual,F,S,1,0,0,4,116920,40,56
Partial College,Clerical,M,S,0,1,0,2,52088,39,63
Graduate Degree,Skilled Manual,F,S,1,0,0,4,73477,39,44
Graduate Degree,Skilled Manual,M,S,0,0,0,0,72772,26,67
Graduate Degree,Skilled Manual,F,S,1,0,0,0,62559,26,45
Graduate Degree,Skilled Manual,F,S,1,0,0,0,60985,25,45
Graduate Degree,Skilled Manual,M,M,1,0,0,0,75894,25,78
Graduate Degree,Skilled Manual,F,S,1,0,0,1,51997,25,40
Graduate Degree,Skilled Manual,M,S,1,0,0,1,66255,26,67
Graduate Degree,Manual,M,S,1,0,0,1,51348,31,67
Graduate Degree,Manual,F,S,0,0,0,1,31465,36,46
Graduate Degree,Manual,M,S,0,0,0,1,34485,36,61
Graduate Degree,Manual,M,S,0,0,0,1,37680,36,66
Graduate Degree,Manual,M,M,1,0,0,1,51766,36,72
Graduate Degree,Clerical,F,S,1,0,0,1,51712,36,48
Graduate Degree,Clerical,M,M,1,0,0,1,39663,36,67
Bachelors ,Manual,F,S,1,0,0,1,23482,37,39
Graduate Degree,Clerical,F,M,1,0,0,1,33349,37,51
Graduate Degree,Clerical,M,M,1,0,0,1,47709,63,54
Graduate Degree,Clerical,F,M,1,0,0,1,41782,62,39
Graduate Degree,Clerical,M,M,1,0,0,1,44500,62,56
Bachelors ,Clerical,M,M,1,0,0,1,33025,41,66
Bachelors ,Clerical,M,M,1,0,0,1,47214,41,76
Partial College,Manual,F,M,1,1,0,2,15438,44,45
Partial College,Manual,F,M,1,1,0,2,15925,44,43
Partial College,Manual,F,S,0,1,0,2,19743,44,47
Graduate Degree,Clerical,F,S,0,0,0,1,26770,61,34
Bachelors ,Clerical,M,S,1,0,0,1,26503,60,57
Bachelors ,Clerical,F,S,1,0,0,1,33550,57,43
Partial College,Manual,F,M,1,1,0,2,24024,56,40
Partial College,Manual,F,M,1,0,0,1,23246,56,34
Partial College,Manual,M,S,1,1,0,0,17709,18,58
Partial College,Manual,M,M,1,1,0,0,12219,18,59
Partial College,Manual,M,M,1,1,0,0,16239,19,62
Partial College,Manual,F,S,0,1,0,0,26861,18,37
Partial College,Manual,M,M,1,1,0,0,23410,20,62
High School,Manual,M,M,1,2,0,0,32029,21,67
High School,Manual,F,M,1,0,1,1,36039,19,50
High School,Manual,M,S,0,0,1,1,18538,19,62
Bachelors ,Clerical,F,S,1,0,0,0,11336,19,37
Bachelors ,Clerical,F,S,0,0,0,0,36542,20,41
Bachelors ,Clerical,M,M,0,0,0,0,32278,21,58
Partial College,Manual,F,M,1,0,0,1,20033,55,38
Partial College,Manual,M,S,0,1,0,2,28025,55,61
Bachelors ,Clerical,F,S,0,0,0,1,48506,55,43
Partial College,Manual,M,M,1,0,1,1,30757,37,79
Graduate Degree,Clerical,M,M,1,0,0,4,81942,37,83
High School,Manual,M,S,0,1,1,1,18873,39,68
High School,Manual,M,S,0,1,1,1,12161,39,63
Partial College,Manual,F,S,0,1,0,2,18405,39,39
Graduate Degree,Clerical,F,M,0,0,0,3,67028,39,51
Partial College,Manual,M,S,0,1,0,2,21572,40,57
Partial College,Manual,M,S,1,1,0,2,15497,40,57
Partial College,Manual,M,S,0,1,0,2,23115,40,59
Graduate Degree,Clerical,F,M,1,0,0,3,75146,38,53
Bachelors ,Clerical,M,S,0,0,0,3,59944,38,65
Bachelors ,Clerical,F,S,0,0,0,3,50707,38,41
Bachelors ,Clerical,M,M,1,0,0,3,52152,38,72
Graduate Degree,Clerical,M,S,0,0,0,3,70640,38,68
High School,Manual,F,S,0,1,1,1,19119,28,43
High School,Manual,F,S,1,0,2,2,35627,28,51
Partial College,Manual,M,S,0,1,0,0,27822,28,62
Partial College,Manual,M,S,0,1,0,0,17010,28,60
High School,Manual,M,S,1,0,2,2,21885,29,79
Bachelors ,Clerical,M,S,1,0,0,0,64374,28,69
Graduate Degree,Clerical,F,S,0,0,0,0,74392,28,46
Partial College,Manual,M,S,0,1,0,0,18607,29,58
Bachelors ,Clerical,F,M,1,0,0,0,65300,29,49
Bachelors ,Clerical,F,S,0,0,0,0,45444,29,45
Bachelors ,Clerical,F,S,1,0,0,1,47701,29,43
Bachelors ,Clerical,F,S,1,0,0,1,53619,29,46
Bachelors ,Clerical,M,S,0,0,0,1,67609,29,67
Graduate Degree,Clerical,M,S,0,0,0,0,76742,29,68
Graduate Degree,Clerical,F,S,0,0,0,0,66450,29,47
Graduate Degree,Clerical,M,S,0,0,0,0,87371,29,72
Graduate Degree,Clerical,F,M,1,0,0,0,52810,29,58
Graduate Degree,Clerical,F,S,1,0,0,0,51526,29,42
Graduate Degree,Clerical,F,M,1,0,0,0,48628,29,48
Graduate Degree,Skilled Manual,F,M,1,0,0,0,58571,29,55
Graduate Degree,Skilled Manual,F,S,0,0,0,0,54338,29,43
Graduate Degree,Skilled Manual,F,S,1,0,0,0,55547,29,45
Bachelors ,Clerical,M,M,1,2,0,3,37461,76,45
Partial College,Manual,F,M,0,2,0,3,27310,46,38
Partial College,Manual,F,S,0,1,0,2,17210,47,36
High School,Manual,F,M,0,1,2,2,20066,30,60
Partial College,Manual,M,M,1,0,1,1,22995,30,80
Partial College,Manual,M,S,1,0,1,1,23624,30,72
Partial College,Manual,M,S,1,1,1,1,21637,30,74
Partial College,Manual,F,S,0,1,1,1,26057,30,44
Graduate Degree,Clerical,M,M,1,0,0,0,63653,30,81
Graduate Degree,Clerical,M,S,1,0,0,0,61683,30,70
Partial College,Manual,M,S,0,1,1,1,23271,31,64
Partial College,Manual,M,S,1,1,1,1,19559,31,69
Partial College,Manual,F,M,1,1,1,1,25993,31,55
Bachelors ,Clerical,F,M,1,0,1,1,49866,31,59
Bachelors ,Clerical,M,S,1,0,1,1,55802,31,76
Bachelors ,Clerical,F,S,0,0,1,1,40628,31,52
Partial High School,Manual,F,S,1,2,4,5,23900,32,68
Partial High School,Manual,F,S,1,2,4,5,18992,32,65
High School,Manual,M,S,0,0,2,2,21467,32,81
High School,Manual,M,S,1,0,2,2,21377,32,78
Bachelors ,Clerical,F,S,1,1,1,1,49648,32,48
Bachelors ,Skilled Manual,F,M,1,1,1,1,55754,32,63
Bachelors ,Skilled Manual,M,M,1,1,1,1,79931,32,96
Partial High School,Manual,F,S,1,2,3,4,11758,33,53
Partial High School,Manual,M,S,1,2,3,4,15399,33,83
High School,Manual,F,S,1,0,2,2,17131,33,47
High School,Manual,M,S,1,1,2,2,21504,33,86
High School,Manual,M,S,1,1,2,2,17623,33,78
High School,Manual,M,S,1,1,2,2,20225,33,81
Bachelors ,Skilled Manual,M,M,1,2,1,1,75460,33,88
Partial High School,Manual,F,S,0,1,2,5,15668,34,54
High School,Manual,M,S,0,0,3,3,32453,34,91
High School,Manual,M,S,1,0,3,3,43348,34,103
High School,Manual,M,S,0,0,3,3,16217,34,83
High School,Manual,M,S,1,1,3,3,15843,34,91
Bachelors ,Skilled Manual,F,M,1,2,1,1,53945,34,54
Partial High School,Manual,M,S,1,2,2,3,27690,35,85
High School,Manual,M,S,0,2,3,3,16851,35,90
High School,Manual,F,M,0,2,0,4,20598,65,37
Bachelors ,Professional,M,S,0,0,0,0,71424,32,72
Bachelors ,Professional,M,S,1,0,0,0,71822,32,72
Bachelors ,Professional,F,M,1,0,0,0,51208,32,53
Partial College,Clerical,F,M,0,1,0,1,12603,36,40
Partial College,Clerical,F,S,1,1,2,2,36519,33,54
Partial College,Clerical,M,S,0,1,2,2,53908,33,93
Bachelors ,Skilled Manual,M,M,1,0,0,1,48052,33,70
Bachelors ,Skilled Manual,F,M,1,0,0,1,54369,33,46
Bachelors ,Skilled Manual,F,M,1,0,0,1,57611,33,49
Partial College,Clerical,F,S,1,2,2,2,57697,34,58
Partial College,Clerical,F,S,1,2,2,2,45904,34,57
Partial College,Clerical,M,S,1,2,2,2,45756,35,88
High School,Manual,M,S,1,1,0,0,38138,21,63
High School,Manual,F,S,1,2,4,4,20302,19,66
Partial College,Clerical,F,S,0,1,3,3,54486,19,67
Partial College,Clerical,M,S,1,1,3,3,63437,19,100
Partial College,Clerical,F,S,0,2,3,3,68012,19,62
Bachelors ,Skilled Manual,M,M,1,0,0,1,76317,35,79
Bachelors ,Skilled Manual,M,M,1,0,0,1,52950,35,70
Partial College,Clerical,F,S,1,1,0,1,44501,36,44
Partial College,Clerical,M,S,0,1,0,1,71538,36,72
Bachelors ,Skilled Manual,M,M,1,1,0,1,57409,36,79
Bachelors ,Skilled Manual,F,M,1,1,0,1,46460,36,48
Partial College,Clerical,M,S,1,3,4,4,71480,20,112
High School,Manual,F,S,0,1,0,0,13577,21,38
High School,Manual,F,S,1,1,0,0,22793,22,35
Partial High School,Manual,M,S,0,2,0,0,12450,23,63
High School,Manual,F,S,0,1,0,0,19338,23,38
High School,Manual,F,S,1,1,0,0,16291,22,39
Partial College,Clerical,M,S,0,1,0,0,55543,22,69
Partial High School,Manual,M,M,0,2,0,0,12250,24,59
Partial College,Clerical,F,S,1,1,0,0,46678,23,48
Bachelors ,Skilled Manual,F,M,1,0,1,1,47206,23,51
Partial High School,Manual,M,S,0,2,0,0,16556,24,62
Partial High School,Manual,F,S,1,2,0,0,22574,25,41
Partial High School,Manual,M,S,0,2,0,0,23739,25,54
Partial High School,Manual,F,S,0,2,0,0,12272,25,42
Partial College,Clerical,F,S,0,1,0,0,41106,25,43
Partial College,Clerical,F,S,1,1,0,0,54787,24,56
Graduate Degree,Skilled Manual,M,S,1,0,0,0,72766,25,76
Graduate Degree,Skilled Manual,F,M,1,0,0,1,57694,26,50
Graduate Degree,Skilled Manual,F,M,1,0,0,1,65466,26,52
High School,Skilled Manual,M,M,1,3,4,4,47897,27,120
Graduate Degree,Skilled Manual,M,S,1,0,0,1,97473,27,74
Graduate Degree,Skilled Manual,F,M,1,0,0,1,92551,27,51
Bachelors ,Manual,M,M,1,0,0,1,32928,37,70
Graduate Degree,Clerical,F,S,0,0,0,1,33097,36,40
Graduate Degree,Clerical,F,M,0,0,0,1,73050,63,45
Bachelors ,Manual,M,M,0,0,0,1,30196,40,69
Bachelors ,Manual,M,M,1,0,0,1,31053,40,63
Bachelors ,Manual,M,S,1,0,0,1,25998,40,60
Partial College,Manual,M,S,0,0,0,1,25749,41,59
Partial College,Manual,M,M,1,0,0,1,23144,41,63
Partial College,Manual,F,S,1,0,0,1,21121,41,40
Partial College,Manual,F,S,0,0,0,1,19883,41,39
Partial College,Manual,F,S,1,0,0,2,21047,42,40
Partial College,Manual,M,S,0,0,0,2,22163,42,62
Bachelors ,Clerical,F,M,1,0,0,1,43046,42,49
Bachelors ,Clerical,F,S,0,0,0,1,13871,42,43
Partial College,Manual,M,S,1,1,0,2,39521,43,67
Graduate Degree,Clerical,M,M,1,0,0,1,40743,61,55
Graduate Degree,Clerical,F,S,1,0,0,1,44499,61,39
Graduate Degree,Clerical,M,M,1,0,0,1,76033,61,68
Bachelors ,Clerical,M,S,1,0,0,1,59469,59,62
Partial College,Manual,M,M,1,1,0,0,31026,18,69
Partial College,Manual,F,M,1,1,0,0,15577,18,33
Partial College,Manual,M,S,0,1,0,0,29058,18,56
Partial College,Manual,M,M,0,1,0,0,22197,19,59
Bachelors ,Clerical,M,S,0,0,0,0,29955,18,60
Bachelors ,Clerical,M,S,0,0,0,0,25985,18,59
High School,Manual,M,S,0,2,0,0,15666,21,53
High School,Manual,F,S,0,0,1,1,22108,22,46
High School,Manual,F,S,0,0,1,1,19246,19,44
Bachelors ,Clerical,F,M,0,0,0,0,23639,19,40
Bachelors ,Clerical,F,S,0,0,0,0,33904,19,43
Partial College,Manual,M,S,1,0,0,0,25334,21,60
Partial College,Manual,F,S,1,0,1,1,24225,37,50
Graduate Degree,Clerical,M,S,0,0,0,4,81075,37,75
Graduate Degree,Clerical,M,M,0,0,0,3,69498,37,72
Partial College,Manual,F,S,1,0,1,1,17156,38,53
Partial College,Manual,F,S,1,0,1,1,25457,38,45
Graduate Degree,Clerical,M,S,0,0,0,1,72417,40,75
Graduate Degree,Clerical,F,S,1,0,0,3,67953,38,48
Bachelors ,Clerical,M,S,0,0,0,3,68425,38,70
Bachelors ,Clerical,F,M,0,0,0,3,53912,38,54
Bachelors ,Clerical,M,M,1,0,0,0,65804,39,77
Bachelors ,Clerical,F,M,1,0,0,0,53536,39,51
Bachelors ,Clerical,M,S,0,0,0,0,58252,39,67
Graduate Degree,Clerical,M,M,0,0,0,3,71991,39,72
Bachelors ,Clerical,M,S,1,0,0,1,47927,40,60
Bachelors ,Clerical,F,M,0,0,0,1,46236,40,52
High School,Manual,F,S,1,0,2,2,16575,28,52
Partial College,Manual,M,S,1,1,0,0,15694,28,60
Partial College,Manual,M,S,0,1,0,0,28920,28,59
Partial College,Manual,M,S,1,1,0,0,24490,28,56
Partial College,Manual,F,S,0,1,0,0,28147,28,38
High School,Manual,M,S,1,0,2,2,25163,29,82
Bachelors ,Clerical,M,M,1,0,0,0,75096,28,84
Bachelors ,Clerical,M,M,1,0,0,0,50236,28,74
Graduate Degree,Clerical,M,M,1,0,0,0,65039,28,77
Partial College,Manual,M,S,0,1,0,0,30391,29,60
Bachelors ,Clerical,M,S,1,0,0,0,70290,29,69
Bachelors ,Clerical,F,S,0,0,0,0,55978,29,48
Graduate Degree,Clerical,M,M,1,0,0,0,77789,29,80
Graduate Degree,Clerical,F,M,1,0,0,0,65602,29,51
Graduate Degree,Skilled Manual,F,S,0,0,0,0,55916,29,44
Graduate Degree,Skilled Manual,F,S,0,0,0,0,60183,29,49
Graduate Degree,Skilled Manual,M,M,1,0,0,0,66042,29,75
Partial College,Manual,M,M,0,2,0,3,19145,46,64
Partial College,Manual,M,S,0,2,0,3,29249,46,61
High School,Manual,F,M,0,2,0,3,17200,47,41
High School,Manual,F,S,1,0,3,3,21258,30,60
High School,Manual,M,S,1,0,3,3,21102,30,94
Partial College,Manual,F,S,0,0,1,1,15065,30,46
Partial College,Manual,M,M,1,1,1,1,17365,30,75
Graduate Degree,Clerical,M,M,1,0,0,1,76072,75,55
Bachelors ,Clerical,M,M,1,0,0,1,67286,30,77
Bachelors ,Clerical,M,S,0,0,0,1,70803,30,74
Graduate Degree,Clerical,F,M,1,0,0,0,61161,30,48
Graduate Degree,Clerical,F,S,1,0,0,0,61310,30,45
Graduate Degree,Clerical,F,S,1,0,0,0,57266,30,50
Graduate Degree,Clerical,F,S,0,0,0,0,67244,30,49
Bachelors ,Clerical,F,S,0,0,0,0,44207,30,45
Bachelors ,Clerical,F,M,1,0,0,0,45158,30,48
Partial High School,Manual,F,S,1,1,3,3,18944,31,56
Partial College,Manual,M,M,1,1,1,1,20563,31,79
Partial College,Manual,F,S,1,1,1,1,36068,31,51
Partial College,Manual,M,S,0,1,1,1,26399,31,69
High School,Manual,F,S,1,1,1,1,18179,31,45
Bachelors ,Clerical,M,S,1,0,1,1,51662,31,84
Bachelors ,Clerical,F,S,0,1,1,1,36973,31,50
High School,Manual,F,S,0,1,1,1,35028,32,47
Bachelors ,Clerical,F,S,0,0,0,0,60463,31,47
Bachelors ,Clerical,F,S,0,0,0,0,63536,31,48
Bachelors ,Clerical,M,S,0,1,1,1,54613,32,77
Bachelors ,Clerical,F,S,0,1,1,1,51227,32,56
Bachelors ,Clerical,M,S,0,1,1,1,79400,32,84
High School,Manual,M,S,1,1,2,2,11110,33,76
Partial High School,Manual,M,S,1,1,2,5,22627,34,79
Partial High School,Manual,M,S,1,1,2,3,20849,34,78
High School,Manual,M,S,1,2,2,2,27849,34,87
High School,Manual,F,S,1,2,2,2,15271,34,50
High School,Manual,F,S,0,2,2,2,11591,34,46
Bachelors ,Skilled Manual,F,M,1,2,1,1,45586,34,56
Bachelors ,Skilled Manual,M,M,1,2,1,1,65629,34,88
Partial College,Manual,M,S,1,0,2,2,35260,32,91
Bachelors ,Professional,F,M,0,0,0,0,66168,32,52
Bachelors ,Professional,M,S,0,0,0,0,75757,32,68
Bachelors ,Professional,F,M,0,0,0,0,64223,32,51
Bachelors ,Professional,F,S,1,0,0,0,56677,32,47
Graduate Degree,Skilled Manual,F,M,1,0,0,0,104299,32,57
Partial College,Manual,M,S,1,0,2,2,61995,35,93
Partial College,Clerical,F,S,1,0,2,2,46888,35,60
Partial College,Clerical,M,S,1,0,2,2,63542,35,92
Partial College,Clerical,M,S,1,0,2,2,43064,35,87
Partial College,Clerical,F,S,1,1,2,2,57509,33,59
Partial College,Clerical,F,S,1,1,2,2,45167,33,57
Partial College,Clerical,M,S,1,2,2,2,52658,33,94
Bachelors ,Skilled Manual,F,M,1,0,0,1,58419,34,54
Bachelors ,Skilled Manual,M,M,1,0,0,1,57050,34,70
Partial College,Clerical,M,S,0,2,2,2,66284,35,96
Partial College,Clerical,M,S,1,0,3,3,52661,35,98
Partial College,Clerical,F,S,1,1,3,3,45951,19,56
Partial College,Clerical,M,S,1,2,3,3,59440,19,98
Bachelors ,Skilled Manual,M,M,1,0,0,1,64498,35,77
Partial College,Clerical,M,S,0,1,0,1,48063,36,66
Partial College,Clerical,M,S,0,1,0,1,51852,36,71
Bachelors ,Skilled Manual,M,M,1,1,0,1,84303,36,75
Bachelors ,Skilled Manual,M,M,1,1,0,1,51344,36,77
Bachelors ,Skilled Manual,F,M,1,1,0,1,55746,36,48
Bachelors ,Skilled Manual,M,M,1,1,0,1,64972,36,75
Partial College,Clerical,F,S,1,2,3,3,47392,20,60
Partial College,Clerical,M,S,1,3,4,4,48945,20,109
High School,Manual,F,S,1,1,0,0,27594,21,42
High School,Manual,M,S,0,1,0,0,26849,21,57
Partial High School,Manual,M,M,0,2,0,0,23291,23,64
Partial High School,Manual,M,M,1,2,0,0,13775,23,60
Partial High School,Manual,F,M,0,2,0,0,11289,23,42
High School,Manual,F,S,0,1,0,0,22646,23,38
High School,Manual,F,S,0,1,0,0,19500,23,39
High School,Manual,M,S,0,1,0,0,14960,22,55
High School,Manual,F,S,0,1,0,0,21364,22,39
Partial High School,Manual,F,S,0,1,0,0,15213,22,35
Partial College,Clerical,F,S,1,1,0,0,39093,22,44
Partial High School,Manual,F,S,1,2,0,0,10680,24,42
Partial High School,Manual,F,S,0,2,0,0,17689,24,39
Partial High School,Manual,F,M,0,2,0,0,11362,24,34
Partial College,Clerical,M,S,0,1,0,0,54958,25,68
Partial College,Professional,M,S,0,2,0,3,102634,42,71
Partial College,Professional,F,M,1,3,4,4,102870,33,92
Partial College,Professional,M,M,1,3,4,4,132251,33,146
Bachelors ,Management,M,S,1,4,1,3,127103,33,94
Partial College,Professional,F,M,1,4,1,4,95451,33,64
Bachelors ,Management,M,S,1,4,2,3,165201,33,112
Graduate Degree,Management,M,M,1,4,1,1,186271,33,105
High School,Skilled Manual,F,M,1,2,3,4,54274,36,73
Bachelors ,Professional,F,S,0,1,0,1,85451,36,54
Graduate Degree,Management,M,M,1,2,0,3,123261,56,76
Bachelors ,Management,M,M,1,2,0,5,92595,56,70
Graduate Degree,Management,M,M,1,2,0,3,100023,55,76
Graduate Degree,Management,F,M,1,2,0,3,96106,55,52
Graduate Degree,Management,F,M,1,2,0,3,91210,55,49
Bachelors ,Management,F,M,1,2,0,5,90573,55,47
Bachelors ,Management,M,M,1,2,0,5,104820,55,79
Bachelors ,Management,M,M,1,2,0,5,103861,55,79
Bachelors ,Management,M,M,1,2,0,5,95252,55,78
Bachelors ,Management,M,M,1,2,0,5,130719,55,82
Bachelors ,Management,F,M,0,2,0,5,109766,55,49
Partial High School,Clerical,F,S,0,2,0,5,28411,54,43
High School,Professional,F,M,1,2,0,4,61997,54,50
High School,Professional,F,M,0,2,0,4,35334,54,42
Bachelors ,Management,F,M,1,2,0,4,87047,54,50
Bachelors ,Management,F,M,1,2,0,4,90912,54,49
High School,Professional,F,S,0,2,0,4,43799,53,46
High School,Professional,M,M,1,2,0,4,37066,53,63
High School,Professional,M,S,0,2,0,4,55801,53,65
High School,Professional,F,M,1,2,0,5,48541,53,47
High School,Professional,M,S,0,3,0,5,56052,53,66
High School,Professional,F,M,1,3,0,5,42385,53,48
Bachelors ,Management,F,M,1,2,0,5,76950,53,56
Bachelors ,Management,F,M,1,2,0,5,87525,53,49
Bachelors ,Management,M,S,1,3,0,5,105963,52,77
Bachelors ,Management,F,M,1,4,0,5,86703,52,48
Bachelors ,Management,M,M,1,4,0,5,115308,52,78
Bachelors ,Management,M,M,0,2,0,4,115609,52,79
Bachelors ,Management,M,M,0,2,0,4,99901,52,75
Partial College,Professional,F,S,0,1,1,2,88811,51,54
Partial College,Professional,M,M,1,1,1,2,109811,51,91
Partial College,Professional,M,M,1,1,1,2,105759,51,91
Partial College,Professional,M,M,1,1,1,2,103282,51,94
Partial College,Professional,F,M,1,1,1,2,71560,51,58
Partial College,Professional,F,S,0,1,1,2,86535,50,60
Partial College,Professional,F,M,1,1,1,2,81238,50,60
Partial College,Professional,M,M,0,1,1,2,100476,50,95
Partial College,Professional,M,S,1,1,1,2,93777,50,86
Partial College,Professional,F,M,1,1,1,2,81952,50,64
Partial College,Professional,F,S,1,1,1,2,77006,50,54
Partial College,Professional,M,M,1,2,1,2,100983,50,95
Partial College,Professional,M,M,1,2,1,2,85683,49,91
Partial College,Professional,F,M,1,2,1,2,79836,49,61
Bachelors ,Management,M,M,1,0,1,2,96939,49,96
Partial College,Professional,M,M,1,1,1,2,105915,49,92
Partial College,Professional,F,M,1,2,1,4,81430,49,65
Partial High School,Skilled Manual,M,M,0,2,1,2,47843,48,85
Partial High School,Skilled Manual,F,M,1,2,1,2,55235,48,53
Partial College,Professional,F,M,1,2,1,2,73440,48,61
Partial College,Professional,M,M,1,2,1,2,97130,48,96
Partial College,Professional,M,M,1,2,1,2,82638,48,89
Partial College,Professional,F,M,1,1,1,2,91529,48,63
Partial College,Professional,F,M,1,1,2,4,80001,48,68
High School,Professional,M,M,1,2,1,2,80383,47,92
Partial College,Professional,F,M,1,1,1,2,74473,47,53
Partial College,Professional,F,M,1,2,1,2,81328,47,61
Partial College,Professional,M,M,1,1,2,4,88105,47,102
Partial College,Professional,M,S,1,2,2,4,99960,47,98
Partial High School,Skilled Manual,M,M,1,2,1,2,85908,46,97
Partial High School,Skilled Manual,M,M,1,2,1,2,73258,46,82
Partial High School,Skilled Manual,M,M,1,3,1,2,92365,46,92
Partial High School,Skilled Manual,M,M,1,3,1,2,76178,46,93
Partial High School,Skilled Manual,F,M,1,3,1,2,77289,46,62
Partial High School,Skilled Manual,M,M,0,3,1,2,75086,46,87
Partial High School,Skilled Manual,M,M,1,3,1,2,84392,46,93
High School,Professional,F,M,1,2,1,2,79663,46,64
Partial College,Professional,M,M,1,1,3,4,93472,45,123
Partial College,Professional,M,S,1,1,3,4,105742,45,115
Partial College,Professional,F,M,1,1,4,4,117586,40,94
Partial College,Professional,F,M,1,3,4,4,125662,41,98
Partial College,Professional,M,M,1,2,4,4,160747,41,151
High School,Professional,F,M,1,4,3,3,116657,41,83
Partial High School,Professional,F,M,0,4,4,4,135403,42,100
High School,Professional,M,M,0,2,1,2,114975,43,97
Partial College,Professional,F,M,1,4,4,4,143230,43,101
Partial High School,Professional,F,S,1,4,4,4,126426,43,86
Partial College,Professional,M,S,0,3,4,4,169550,43,137
Partial College,Professional,F,M,1,2,1,3,107294,44,62
Bachelors ,Management,F,M,1,2,0,5,106112,54,53
Bachelors ,Management,F,M,1,4,4,4,141301,54,87
Bachelors ,Management,F,S,0,2,4,4,139801,54,80
Partial College,Professional,M,M,1,2,0,5,108484,53,78
Partial College,Professional,M,M,0,2,0,5,115354,53,77
Bachelors ,Management,M,M,1,4,4,4,163032,53,146
Bachelors ,Management,F,M,1,4,4,4,128949,53,86
Bachelors ,Management,M,M,1,4,4,4,152286,53,144
Bachelors ,Management,M,M,1,4,3,3,116505,52,121
