Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer,Year,Age
Partial College,Management,F,M,0,3,5,5,137762,108,1,1950,48
Partial High School,Skilled Manual,F,M,0,3,1,5,76660,62,0,1949,49
High School,Management,F,M,1,3,1,5,105286,60,0,1949,49
High School,Management,M,M,1,4,5,5,156699,169,0,1949,49
Partial High School,Skilled Manual,M,M,1,4,1,4,117645,102,0,1948,50
High School,Management,F,M,1,4,5,5,129427,104,1,1948,50
High School,Management,M,S,1,4,4,4,121610,130,1,1947,51
High School,Management,F,M,0,4,4,4,100446,86,0,1947,51
Bachelors ,Professional,M,S,0,3,0,0,85710,74,0,1975,23
Bachelors ,Professional,M,M,0,3,0,0,125149,83,0,1975,23
Bachelors ,Professional,M,M,1,2,0,0,127273,79,0,1975,23
Bachelors ,Professional,F,S,0,3,0,0,97398,50,1,1973,25
Bachelors ,Professional,M,S,1,2,0,0,123685,75,0,1974,24
Bachelors ,Professional,F,S,0,3,0,0,97814,54,0,1974,24
High School,Management,F,S,1,2,5,5,110922,96,1,1973,25
High School,Management,M,M,0,2,5,5,117255,158,1,1973,25
Partial High School,Professional,M,M,1,4,5,5,163544,171,1,1973,25
Bachelors ,Professional,M,S,0,3,0,0,124180,81,0,1972,26
High School,Management,M,S,1,3,5,5,127539,146,1,1972,26
Bachelors ,Professional,F,S,1,4,0,0,103822,52,0,1971,27
Bachelors ,Professional,F,S,1,4,0,0,108551,51,1,1971,27
High School,Management,F,M,1,3,5,5,141424,107,0,1972,26
High School,Management,M,M,1,3,5,5,147032,171,1,1972,26
High School,Management,F,M,1,4,5,5,89391,101,0,1971,27
Bachelors ,Professional,M,S,1,4,0,0,128631,81,1,1970,28
High School,Management,M,M,1,4,5,5,126367,165,0,1970,28
High School,Management,M,M,1,4,5,5,155165,173,1,1970,28
Bachelors ,Management,M,M,1,4,5,5,156831,168,1,1971,27
Bachelors ,Management,M,S,1,4,5,5,170549,156,1,1969,29
Partial College,Professional,M,M,1,1,2,5,113170,117,0,1964,34
Partial College,Professional,M,M,0,2,0,3,125973,87,0,1956,42
Partial College,Professional,M,M,0,2,0,3,128222,88,0,1956,42
Graduate Degree,Management,F,M,1,2,0,2,56839,43,0,1934,64
Graduate Degree,Management,M,M,1,2,0,2,123227,68,0,1934,64
Graduate Degree,Management,M,M,1,2,0,2,102695,73,0,1934,64
Partial College,Professional,F,M,1,2,3,4,100091,86,0,1963,35
Graduate Degree,Skilled Manual,F,M,1,0,1,1,56557,59,0,1972,26
Bachelors ,Skilled Manual,F,M,1,0,1,1,46198,55,1,1972,26
Bachelors ,Skilled Manual,M,M,1,0,1,1,69180,85,0,1972,26
Bachelors ,Skilled Manual,F,M,1,0,1,1,51899,51,0,1972,26
Graduate Degree,Skilled Manual,F,M,1,0,0,1,87419,58,0,1972,26
Graduate Degree,Skilled Manual,F,M,1,0,0,1,82099,52,1,1972,26
Graduate Degree,Skilled Manual,M,M,1,0,0,1,91315,78,0,1972,26
Bachelors ,Skilled Manual,F,M,1,0,1,1,56857,61,0,1970,28
Bachelors ,Skilled Manual,F,M,1,0,1,1,59099,60,1,1970,28
Bachelors ,Skilled Manual,M,M,1,1,1,1,59066,91,0,1970,28
Bachelors ,Skilled Manual,M,S,0,0,2,2,61701,92,1,1969,29
Bachelors ,Skilled Manual,F,M,1,0,2,2,57423,60,0,1969,29
Graduate Degree,Professional,M,M,1,0,0,1,110418,90,0,1971,27
Graduate Degree,Professional,M,M,1,0,0,1,118883,86,0,1971,27
Graduate Degree,Professional,M,M,1,0,0,3,107598,78,0,1971,27
Graduate Degree,Professional,F,M,1,0,0,1,96893,60,0,1969,29
Graduate Degree,Professional,F,M,1,0,0,1,91214,53,1,1969,29
Bachelors ,Skilled Manual,F,M,1,0,2,2,89807,81,0,1968,30
Bachelors ,Skilled Manual,M,M,1,1,2,2,107022,113,0,1968,30
Bachelors ,Skilled Manual,M,M,1,1,2,2,108959,113,0,1968,30
Graduate Degree,Professional,F,M,1,0,0,2,103896,54,0,1970,28
Graduate Degree,Professional,M,M,1,0,0,2,112628,87,0,1970,28
Graduate Degree,Professional,M,M,1,0,0,2,106898,84,0,1970,28
Graduate Degree,Professional,F,S,1,0,0,4,98096,50,1,1970,28
Graduate Degree,Professional,M,M,1,0,0,4,120393,85,0,1970,28
Bachelors ,Professional,M,S,0,1,0,0,69703,81,0,1967,31
Bachelors ,Skilled Manual,M,S,0,1,2,2,63436,94,1,1967,31
Bachelors ,Skilled Manual,M,M,1,1,2,2,62595,100,0,1967,31
Graduate Degree,Professional,F,S,0,0,0,0,95345,54,0,1966,32
Graduate Degree,Professional,F,S,1,0,0,4,88845,47,1,1966,32
Graduate Degree,Professional,F,M,1,0,0,2,107725,55,0,1969,29
Graduate Degree,Professional,M,M,1,0,0,2,109630,85,0,1969,29
Graduate Degree,Professional,M,M,1,0,0,2,107439,75,1,1969,29
Graduate Degree,Professional,M,M,1,2,5,5,119868,158,1,1969,29
Graduate Degree,Professional,F,S,1,2,5,5,80640,88,1,1969,29
Graduate Degree,Professional,F,M,1,2,5,5,82835,98,0,1969,29
Graduate Degree,Professional,F,M,1,2,5,5,88472,96,0,1969,29
Graduate Degree,Professional,F,M,1,2,5,5,82509,100,1,1969,29
Bachelors ,Professional,F,S,0,1,0,0,46725,49,0,1965,33
Bachelors ,Skilled Manual,M,S,0,1,3,3,67483,108,1,1965,33
Bachelors ,Skilled Manual,F,M,1,2,3,3,45966,71,0,1965,33
Bachelors ,Skilled Manual,M,M,1,3,3,3,51436,110,1,1965,33
Bachelors ,Skilled Manual,M,M,1,3,3,3,59122,114,1,1965,33
Bachelors ,Skilled Manual,F,M,1,3,3,3,63236,79,1,1965,33
Bachelors ,Skilled Manual,M,M,1,3,3,3,72126,118,1,1965,33
Bachelors ,Professional,M,S,0,1,0,0,68356,75,1,1964,34
Bachelors ,Professional,F,S,0,1,0,0,43354,44,0,1964,34
Bachelors ,Skilled Manual,M,M,1,3,4,4,84712,136,1,1964,34
Bachelors ,Skilled Manual,M,M,0,3,5,5,94706,156,1,1964,34
Bachelors ,Skilled Manual,F,M,1,2,2,4,82135,69,0,1964,34
Bachelors ,Skilled Manual,F,M,1,2,2,4,95586,73,0,1964,34
Bachelors ,Skilled Manual,M,M,1,2,2,4,110888,116,1,1964,34
Bachelors ,Skilled Manual,F,M,1,2,2,4,73078,71,1,1964,34
Bachelors ,Skilled Manual,M,M,1,2,2,4,96438,113,1,1964,34
Bachelors ,Professional,M,M,1,2,2,4,108963,119,1,1963,35
Bachelors ,Professional,M,S,1,2,2,4,105688,106,1,1963,35
Bachelors ,Professional,M,S,1,2,2,4,100819,106,1,1963,35
Bachelors ,Professional,M,M,1,2,2,4,92586,107,1,1963,35
Bachelors ,Professional,M,M,1,2,2,4,108177,116,1,1963,35
Bachelors ,Professional,F,M,1,2,2,4,76160,70,1,1963,35
Bachelors ,Professional,M,S,1,2,2,4,98980,100,1,1963,35
Bachelors ,Professional,M,S,1,2,2,4,101936,103,1,1963,35
Bachelors ,Professional,M,M,1,2,2,4,103576,115,1,1963,35
Bachelors ,Professional,F,M,1,3,2,4,75715,68,1,1963,35
Bachelors ,Professional,F,S,0,1,0,0,98082,60,0,1963,35
Graduate Degree,Professional,F,M,1,0,2,3,87738,76,1,1963,35
Graduate Degree,Professional,F,M,1,0,2,3,93548,71,0,1963,35
Partial High School,Manual,M,S,1,2,0,0,39446,62,0,1972,26
Partial High School,Manual,M,S,0,2,0,0,16195,57,0,1972,26
Partial High School,Manual,M,S,1,2,0,0,17984,54,1,1972,26
High School,Manual,M,S,0,1,0,0,52746,66,0,1973,25
Bachelors ,Skilled Manual,F,M,1,0,1,1,43187,54,0,1973,25
Bachelors ,Skilled Manual,F,M,1,1,1,1,44807,59,0,1973,25
Bachelors ,Skilled Manual,F,M,1,1,1,1,41352,52,0,1973,25
Partial High School,Manual,M,S,1,2,0,0,30683,59,0,1972,26
High School,Manual,M,S,0,1,0,0,49471,63,0,1972,26
High School,Manual,M,S,0,1,0,0,49776,62,1,1972,26
High School,Manual,M,S,0,1,0,0,51279,61,0,1972,26
Partial High School,Manual,F,M,0,2,0,0,16159,44,0,1971,27
Partial High School,Manual,F,S,0,2,0,0,17853,40,0,1971,27
Partial High School,Manual,F,S,1,2,0,0,18940,37,0,1971,27
Partial High School,Manual,M,S,0,2,0,0,21775,60,0,1971,27
Partial High School,Manual,M,S,0,2,0,0,20879,60,1,1971,27
High School,Manual,M,S,0,1,0,0,42630,66,0,1971,27
High School,Manual,M,S,0,1,0,0,62325,70,1,1971,27
Partial College,Clerical,M,S,1,1,2,2,50189,92,1,1971,27
Partial College,Clerical,F,S,1,2,2,2,39136,56,1,1971,27
Partial College,Clerical,M,S,1,2,2,2,60065,90,1,1971,27
Partial High School,Manual,F,M,1,2,0,4,29540,29,0,1917,81
Partial College,Clerical,F,S,1,1,3,3,59710,65,1,1974,24
Partial College,Clerical,M,M,0,2,3,3,64777,109,0,1974,24
Graduate Degree,Skilled Manual,F,S,0,0,0,0,66129,45,0,1974,24
Graduate Degree,Skilled Manual,M,S,1,0,0,5,93351,58,0,1930,68
Graduate Degree,Skilled Manual,F,M,1,1,0,1,79095,43,0,1931,67
Graduate Degree,Skilled Manual,F,S,0,0,0,0,97281,48,1,1966,32
Graduate Degree,Skilled Manual,M,S,0,0,0,0,115869,80,1,1966,32
Graduate Degree,Skilled Manual,F,S,0,0,0,0,89188,48,0,1966,32
Graduate Degree,Skilled Manual,F,S,0,0,0,0,65929,51,0,1966,32
Graduate Degree,Skilled Manual,M,M,1,0,0,0,105691,87,0,1966,32
High School,Manual,F,M,0,2,1,2,20811,52,0,1953,45
High School,Manual,M,M,1,2,1,2,16802,70,0,1953,45
High School,Manual,F,M,0,2,0,2,13671,44,0,1953,45
Partial College,Clerical,M,M,1,1,0,1,65403,73,0,1954,44
Partial College,Clerical,M,M,1,1,0,1,54763,78,0,1954,44
High School,Clerical,F,M,1,2,0,1,49055,45,0,1955,43
High School,Clerical,F,M,0,2,0,2,25592,45,0,1955,43
High School,Clerical,F,M,0,2,0,2,37337,49,0,1955,43
Partial College,Clerical,M,M,1,1,0,1,58500,76,0,1955,43
High School,Skilled Manual,M,M,0,2,0,2,51253,72,0,1956,42
High School,Skilled Manual,F,M,1,2,0,2,48447,47,0,1957,41
Partial College,Clerical,F,M,1,1,0,2,37325,48,0,1958,40
Partial College,Clerical,F,S,1,1,0,2,40364,46,0,1958,40
Partial College,Clerical,F,S,1,1,0,2,49193,46,0,1958,40
Graduate Degree,Skilled Manual,F,M,1,0,0,5,123264,58,0,1958,40
Graduate Degree,Skilled Manual,M,S,0,0,0,5,142722,84,1,1958,40
Graduate Degree,Skilled Manual,F,S,0,0,0,5,101250,48,0,1958,40
Graduate Degree,Skilled Manual,M,M,0,0,0,4,131369,87,0,1958,40
Partial College,Clerical,M,M,1,1,0,2,49211,75,0,1959,39
Graduate Degree,Skilled Manual,M,S,1,0,0,4,96699,74,0,1959,39
Graduate Degree,Skilled Manual,F,S,1,0,0,4,100307,54,0,1959,39
Graduate Degree,Skilled Manual,M,S,0,0,0,4,111120,72,0,1959,39
Graduate Degree,Skilled Manual,F,S,1,0,0,4,87050,46,0,1959,39
Graduate Degree,Skilled Manual,M,M,1,0,0,4,100145,82,0,1959,39
Graduate Degree,Skilled Manual,F,S,0,0,0,0,68973,51,0,1972,26
Graduate Degree,Skilled Manual,F,S,0,0,0,0,69476,43,0,1972,26
Graduate Degree,Skilled Manual,F,S,0,0,0,0,64109,41,0,1973,25
Graduate Degree,Skilled Manual,F,M,1,0,0,0,47505,47,0,1973,25
Graduate Degree,Skilled Manual,F,S,1,0,0,0,72864,51,0,1973,25
Graduate Degree,Skilled Manual,F,S,1,0,0,1,58648,44,0,1973,25
Graduate Degree,Skilled Manual,M,M,1,0,0,1,72368,80,0,1973,25
Graduate Degree,Skilled Manual,F,M,1,0,0,1,55305,45,0,1973,25
Graduate Degree,Skilled Manual,M,S,1,0,0,1,72255,79,0,1972,26
Graduate Degree,Skilled Manual,F,M,1,0,0,1,98309,51,0,1971,27
Graduate Degree,Skilled Manual,F,M,1,0,0,1,89611,52,0,1971,27
Graduate Degree,Skilled Manual,M,M,0,0,0,1,103641,84,1,1971,27
Graduate Degree,Manual,M,S,1,0,0,1,39630,66,0,1962,36
Graduate Degree,Clerical,M,M,1,0,0,1,40688,69,0,1962,36
Graduate Degree,Clerical,M,S,1,0,0,1,48626,72,1,1962,36
Graduate Degree,Clerical,F,M,1,0,0,1,44734,50,0,1962,36
Partial College,Professional,F,M,1,3,4,4,101090,92,1,1965,33
Bachelors ,Management,F,M,1,4,2,2,144891,76,0,1965,33
Bachelors ,Management,F,S,1,0,3,4,93422,81,1,1964,34
High School,Skilled Manual,M,M,1,2,2,3,52341,97,1,1962,36
Bachelors ,Professional,M,M,1,1,0,1,83884,81,0,1962,36
Bachelors ,Professional,M,S,0,1,0,1,100064,76,1,1962,36
Bachelors ,Management,F,S,0,2,0,4,63563,43,0,1942,56
Graduate Degree,Management,M,M,1,2,0,3,114588,76,0,1942,56
Graduate Degree,Management,M,M,1,2,0,3,94744,70,0,1942,56
Bachelors ,Management,F,M,1,2,0,5,86127,47,0,1942,56
Bachelors ,Management,F,M,0,2,0,5,83264,52,0,1942,56
Bachelors ,Management,M,M,1,2,0,5,106843,76,0,1943,55
Bachelors ,Management,F,M,0,2,0,5,107490,49,0,1943,55
Bachelors ,Management,M,M,1,2,0,5,118430,83,0,1943,55
High School,Professional,F,M,1,2,0,4,52496,43,0,1944,54
High School,Professional,F,M,1,2,0,4,52097,45,0,1944,54
High School,Professional,F,M,1,2,0,4,40400,43,0,1944,54
Bachelors ,Management,F,S,1,2,0,4,76670,42,1,1944,54
Bachelors ,Management,F,M,1,2,0,4,81196,52,0,1944,54
High School,Professional,F,M,0,2,0,5,36796,45,0,1945,53
High School,Professional,M,M,1,2,0,5,62398,70,0,1945,53
Bachelors ,Management,M,M,1,2,0,4,107712,81,0,1945,53
Bachelors ,Management,F,M,1,3,0,5,71937,51,0,1946,52
Bachelors ,Management,M,S,1,3,0,5,100285,69,0,1946,52
Bachelors ,Management,F,S,0,3,0,5,99747,46,0,1946,52
Bachelors ,Management,M,M,1,2,0,4,102565,82,0,1946,52
Bachelors ,Management,F,M,1,2,0,4,76337,46,0,1946,52
Bachelors ,Management,F,M,1,2,0,4,81011,48,0,1946,52
Bachelors ,Management,F,M,1,2,0,4,91593,50,0,1946,52
Partial College,Professional,M,M,1,1,1,2,101570,97,0,1947,51
Partial College,Professional,M,S,1,1,1,2,105742,84,0,1947,51
Partial College,Professional,M,M,1,1,1,2,93229,85,1,1947,51
Partial College,Professional,F,M,1,1,1,2,71102,58,0,1947,51
Partial College,Professional,M,M,1,1,1,2,85660,96,0,1947,51
Partial College,Professional,M,S,1,1,1,2,94578,88,0,1947,51
Partial College,Professional,M,M,1,1,1,2,102016,100,0,1947,51
Bachelors ,Management,M,M,1,3,0,5,106388,73,0,1947,51
High School,Professional,M,S,1,2,1,2,52845,74,0,1948,50
High School,Professional,F,S,1,2,1,2,41510,49,1,1948,50
Partial College,Professional,F,S,0,2,1,2,83663,53,0,1948,50
Bachelors ,Management,F,M,1,0,1,2,83621,59,0,1948,50
Bachelors ,Management,F,M,1,0,1,2,82769,60,0,1948,50
Bachelors ,Management,M,M,1,0,1,2,101950,93,0,1948,50
Bachelors ,Management,F,M,1,0,1,2,91011,57,1,1948,50
Bachelors ,Management,M,M,1,0,1,2,97987,93,0,1948,50
Bachelors ,Management,M,M,1,2,1,4,103800,96,0,1948,50
Partial College,Professional,F,M,1,2,1,2,80587,60,0,1949,49
Partial College,Professional,F,M,1,2,1,2,80310,59,0,1949,49
Partial College,Professional,F,M,0,0,1,2,52704,57,0,1949,49
Partial College,Professional,M,S,1,2,1,4,90543,89,1,1949,49
Partial High School,Skilled Manual,F,M,1,2,1,2,37184,49,0,1950,48
Partial College,Professional,M,M,1,2,1,2,97542,101,0,1950,48
Partial College,Professional,F,M,1,2,1,2,86447,64,0,1950,48
Partial College,Professional,M,M,1,2,1,2,94901,96,0,1950,48
Partial College,Professional,F,M,1,1,1,2,67567,55,1,1950,48
Bachelors ,Management,M,M,1,1,1,3,126003,94,0,1950,48
High School,Professional,F,M,1,2,1,2,76438,63,1,1951,47
Partial College,Professional,M,M,1,1,1,2,100205,94,0,1951,47
Partial College,Professional,M,S,1,2,1,2,97258,91,1,1951,47
Partial College,Professional,F,M,0,2,1,2,88815,59,0,1951,47
Partial College,Professional,F,M,1,2,1,2,64437,59,0,1951,47
Partial College,Professional,F,M,1,2,1,2,82764,60,0,1951,47
Partial College,Professional,M,M,1,2,2,4,101548,111,0,1951,47
High School,Professional,M,M,0,2,1,2,94494,94,0,1952,46
High School,Professional,M,M,0,2,1,2,101075,96,0,1952,46
High School,Professional,M,M,1,2,1,2,86860,90,0,1952,46
High School,Professional,F,S,1,2,1,2,77023,56,1,1952,46
Bachelors ,Management,M,S,0,4,3,3,173972,122,1,1958,40
Partial College,Professional,M,M,1,4,3,3,157434,132,0,1958,40
Partial College,Professional,M,M,1,3,4,4,157348,151,0,1957,41
Partial College,Professional,F,M,1,3,4,4,139109,96,1,1957,41
Partial College,Professional,F,M,1,3,4,4,137042,99,1,1957,41
High School,Professional,M,S,1,4,4,4,166161,141,1,1957,41
Bachelors ,Management,M,S,0,3,3,4,166549,124,1,1957,41
High School,Professional,F,S,1,4,4,4,135947,87,1,1956,42
Partial College,Professional,M,M,1,4,4,4,162082,151,1,1955,43
Partial High School,Professional,F,M,1,4,4,4,128748,90,0,1955,43
Partial College,Professional,F,M,1,3,4,4,138296,100,1,1955,43
Partial College,Professional,F,S,0,3,4,4,135331,89,1,1955,43
High School,Professional,F,M,0,4,3,3,135747,85,0,1955,43
High School,Professional,F,M,1,2,4,4,127792,98,0,1955,43
Partial College,Professional,F,M,1,1,2,3,106459,72,1,1954,44
Partial College,Professional,M,S,0,2,0,5,123744,75,0,1944,54
Partial College,Professional,F,M,1,2,0,5,111131,50,0,1944,54
Bachelors ,Management,F,M,1,4,4,4,156468,90,0,1944,54
Bachelors ,Management,F,M,1,4,4,4,161655,97,0,1944,54
Partial College,Professional,F,M,0,2,0,5,107801,54,0,1945,53
Partial College,Professional,M,M,1,2,0,5,111184,84,0,1945,53
Bachelors ,Management,M,M,1,4,4,4,165264,141,0,1945,53
Partial College,Professional,F,M,1,4,4,4,137887,92,0,1945,53
Bachelors ,Management,F,M,1,4,4,4,158609,91,0,1945,53
Bachelors ,Management,M,M,1,1,4,4,130458,139,0,1946,52
Bachelors ,Management,F,S,1,4,4,4,154212,85,1,1946,52
Partial College,Professional,M,M,1,1,2,4,127794,116,0,1954,44
High School,Professional,M,M,0,3,4,4,123626,150,1,1954,44
Partial College,Professional,M,M,1,4,4,4,153137,149,0,1954,44
Partial College,Professional,M,M,1,2,1,4,110154,92,0,1952,46
High School,Professional,M,M,0,3,1,4,109212,98,0,1951,47
High School,Professional,M,M,1,2,1,4,133660,95,0,1951,47
High School,Professional,M,M,1,3,1,4,114956,95,1,1951,47
Partial College,Professional,F,M,0,4,4,4,94061,90,0,1951,47
High School,Professional,F,M,1,3,5,5,136164,105,0,1951,47
Partial College,Management,F,M,0,4,5,5,128704,102,1,1951,47
Partial College,Management,M,M,0,3,5,5,150867,165,0,1950,48
Bachelors ,Management,M,S,0,3,5,5,181048,152,1,1950,48
Partial High School,Skilled Manual,F,S,1,3,1,5,57880,51,0,1948,50
High School,Management,F,M,1,4,1,5,98211,63,0,1948,50
High School,Management,F,M,1,3,1,4,107332,61,0,1948,50
High School,Management,F,M,1,3,1,4,93529,62,0,1948,50
Partial High School,Skilled Manual,F,S,1,4,1,4,81517,60,1,1948,50
High School,Management,M,S,1,4,4,4,123185,127,1,1948,50
High School,Management,F,M,1,4,5,5,141290,110,0,1948,50
Partial High School,Skilled Manual,F,M,0,2,0,5,102572,49,0,1947,51
Partial High School,Skilled Manual,M,M,1,2,0,5,120472,81,0,1947,51
Partial High School,Professional,F,M,1,4,4,4,95729,88,0,1947,51
Partial High School,Professional,F,M,1,4,5,5,138987,102,0,1947,51
Bachelors ,Professional,M,S,1,3,0,0,99695,72,1,1976,22
Bachelors ,Professional,F,S,0,4,0,0,73335,48,0,1975,23
Bachelors ,Professional,F,M,1,2,0,0,91260,54,0,1975,23
Bachelors ,Professional,F,M,0,2,0,0,88674,49,0,1976,22
Bachelors ,Professional,M,S,0,2,0,0,113397,74,0,1976,22
Bachelors ,Professional,M,S,0,2,0,0,95037,70,0,1976,22
Bachelors ,Professional,M,S,1,2,0,0,132134,73,1,1976,22
Bachelors ,Professional,M,M,1,2,0,0,114187,86,0,1976,22
Bachelors ,Professional,M,M,1,3,0,0,112529,82,0,1974,24
Bachelors ,Professional,F,S,0,3,0,0,109906,47,0,1975,23
Bachelors ,Professional,M,S,1,2,0,0,134401,77,1,1975,23
Bachelors ,Professional,F,S,0,4,0,0,97081,48,1,1974,24
Bachelors ,Professional,F,M,1,3,0,0,108114,55,0,1973,25
Bachelors ,Professional,M,S,1,3,0,0,129274,77,0,1974,24
High School,Management,F,S,1,2,5,5,90246,93,1,1974,24
Bachelors ,Professional,F,M,0,3,0,0,100054,53,0,1972,26
High School,Management,M,S,1,2,5,5,126917,146,1,1973,25
Partial College,Management,F,M,1,3,5,5,134606,103,0,1973,25
Partial High School,Professional,F,M,1,4,5,5,137822,105,1,1973,25
High School,Management,F,M,1,3,5,5,128840,100,1,1972,26
High School,Management,F,M,1,3,5,5,97158,96,1,1971,27
High School,Management,F,S,1,4,5,5,101919,92,1,1971,27
Bachelors ,Professional,F,S,0,4,0,0,112869,56,0,1970,28
High School,Management,M,M,1,4,5,5,122467,165,0,1970,28
Partial High School,Professional,M,M,0,4,5,5,156441,172,1,1971,27
Partial High School,Professional,M,M,1,4,5,5,141388,165,0,1971,27
Partial College,Professional,M,S,1,2,3,4,120044,120,1,1964,34
Partial College,Professional,F,M,1,3,5,5,108011,105,1,1964,34
Graduate Degree,Management,F,S,0,2,2,2,146798,76,1,1964,34
Partial College,Professional,M,S,1,0,2,3,88492,94,1,1956,42
Partial College,Professional,M,M,1,0,3,4,101209,128,0,1956,42
Graduate Degree,Management,M,M,1,2,0,2,86916,64,0,1934,64
Graduate Degree,Management,F,M,1,2,0,2,84035,52,0,1934,64
Graduate Degree,Management,F,M,1,2,0,2,95151,51,0,1934,64
Graduate Degree,Management,F,M,1,2,0,2,93767,46,0,1934,64
Bachelors ,Management,F,M,1,4,1,1,138630,50,0,1934,64
Partial College,Clerical,F,S,0,1,0,0,38561,46,1,1974,24
Partial High School,Manual,F,S,0,2,0,0,20234,39,0,1980,18
Partial High School,Manual,F,S,1,2,0,0,11906,37,0,1980,18
Partial High School,Manual,M,S,0,2,0,0,20198,60,0,1980,18
Partial High School,Manual,F,S,0,2,0,0,20734,38,0,1980,18
Partial College,Skilled Manual,M,M,1,1,0,1,86820,81,1,1962,36
High School,Skilled Manual,M,M,1,2,3,4,58271,112,0,1961,37
High School,Skilled Manual,M,M,1,3,3,4,55864,112,1,1961,37
High School,Skilled Manual,F,S,1,3,3,4,50198,67,0,1961,37
Partial College,Skilled Manual,F,M,1,1,0,1,71552,51,1,1961,37
Partial College,Skilled Manual,F,M,1,1,0,1,86856,51,0,1961,37
Partial College,Skilled Manual,M,M,1,1,0,1,77431,80,0,1961,37
Partial College,Skilled Manual,M,M,1,1,0,1,90811,78,1,1961,37
High School,Skilled Manual,M,M,1,2,2,4,42883,96,0,1960,38
Bachelors ,Professional,F,S,0,1,0,0,55770,45,0,1960,38
Graduate Degree,Professional,F,S,0,1,0,0,84390,49,0,1967,31
Graduate Degree,Professional,F,S,0,1,0,0,102739,55,1,1967,31
Graduate Degree,Professional,M,S,1,1,0,0,109250,79,1,1967,31
Graduate Degree,Professional,F,S,0,1,0,0,92769,50,0,1967,31
Graduate Degree,Professional,F,S,1,1,0,0,94794,53,1,1967,31
Partial College,Skilled Manual,M,M,0,1,0,1,96657,81,0,1960,38
Partial College,Skilled Manual,M,M,1,1,0,1,102577,76,0,1959,39
Bachelors ,Professional,F,M,1,0,3,4,85587,78,1,1959,39
Bachelors ,Professional,F,M,0,0,3,4,92737,81,0,1959,39
Bachelors ,Professional,F,M,0,0,3,4,89377,75,0,1959,39
Bachelors ,Professional,F,S,1,0,3,4,80032,69,1,1959,39
Graduate Degree,Professional,M,M,1,1,0,2,118631,89,0,1959,39
Graduate Degree,Professional,M,M,1,0,0,5,145796,87,1,1959,39
Bachelors ,Professional,F,S,0,1,2,3,77014,63,1,1958,40
Graduate Degree,Professional,F,M,1,0,0,5,132280,59,0,1958,40
Graduate Degree,Management,F,S,1,0,0,1,114564,53,0,1969,29
Bachelors ,Professional,F,M,1,0,0,2,106313,52,0,1969,29
Bachelors ,Professional,F,M,1,0,0,2,99476,55,0,1969,29
Graduate Degree,Management,F,M,1,0,0,1,128718,56,0,1969,29
Graduate Degree,Management,M,S,0,0,0,1,137693,81,1,1969,29
Graduate Degree,Management,M,S,1,0,0,1,141418,79,0,1969,29
Graduate Degree,Management,M,S,1,1,4,4,144511,133,1,1970,28
Bachelors ,Professional,F,S,1,3,5,5,83011,89,1,1968,30
Bachelors ,Professional,M,M,0,3,5,5,104988,165,1,1967,31
Bachelors ,Professional,F,S,1,3,5,5,85158,84,1,1967,31
Graduate Degree,Management,F,S,1,1,0,1,155206,57,1,1969,29
Graduate Degree,Management,M,S,0,1,0,1,178194,79,0,1969,29
Graduate Degree,Management,F,S,0,0,0,1,152226,55,0,1969,29
Graduate Degree,Management,M,M,1,1,0,1,182273,89,0,1969,29
Bachelors ,Professional,F,M,0,4,5,5,80755,96,1,1967,31
Bachelors ,Professional,F,M,1,4,5,5,83337,101,1,1967,31
Graduate Degree,Management,F,S,1,2,5,5,119533,97,1,1967,31
Graduate Degree,Management,F,M,1,2,5,5,125199,107,0,1967,31
Graduate Degree,Management,M,M,1,3,5,5,141715,167,1,1967,31
Bachelors ,Professional,F,M,1,3,5,5,106779,99,1,1966,32
Bachelors ,Professional,M,M,1,0,0,2,138627,90,0,1966,32
Bachelors ,Professional,M,M,1,1,2,2,113770,117,1,1965,33
Bachelors ,Professional,M,S,0,1,0,0,90403,76,1,1968,30
Bachelors ,Professional,F,S,0,1,0,0,79831,57,0,1968,30
Bachelors ,Professional,F,S,1,2,3,3,87584,78,0,1964,34
Bachelors ,Professional,M,M,1,2,4,4,110677,146,1,1964,34
Bachelors ,Professional,F,M,0,3,4,4,82583,92,0,1964,34
Bachelors ,Professional,F,S,1,1,0,0,74732,51,0,1964,34
Bachelors ,Professional,M,M,1,3,5,5,103293,152,1,1963,35
Bachelors ,Professional,F,S,0,2,2,3,79630,60,1,1963,35
Bachelors ,Professional,M,S,0,1,0,0,103466,79,0,1963,35
Bachelors ,Professional,F,M,1,0,4,4,114412,89,1,1967,31
Bachelors ,Professional,M,M,1,1,0,1,101485,80,1,1962,36
Bachelors ,Professional,F,S,1,1,0,1,83249,49,0,1961,37
Bachelors ,Professional,F,M,1,1,0,1,72915,50,0,1961,37
Partial College,Skilled Manual,F,M,1,1,0,1,57835,50,0,1961,37
Partial College,Skilled Manual,M,M,1,1,0,1,89729,85,0,1961,37
Partial College,Skilled Manual,F,S,1,1,0,1,77501,51,0,1960,38
Partial College,Skilled Manual,M,M,1,1,0,1,78387,79,1,1960,38
Partial College,Skilled Manual,F,S,1,1,0,1,70908,47,0,1960,38
Bachelors ,Professional,M,S,1,1,0,0,108555,80,1,1965,33
Bachelors ,Professional,F,M,1,4,5,5,102735,105,1,1965,33
